Date,Volume
2016-05-25,5017700.0
2016-05-24,5180636.0
2016-05-23,3853395.0
2016-05-20,5089385.0
2016-05-19,4577199.0
2016-05-18,8258938.0
2016-05-17,15982387.0
2016-05-16,8394783.0
2016-05-13,5294654.0
2016-05-12,5355600.0
2016-05-11,6057757.0
2016-05-10,3662143.0
2016-05-09,3552222.0
2016-05-06,3356838.0
2016-05-05,3474203.0
2016-05-04,3191814.0
2016-05-03,3408711.0
2016-05-02,4284363.0
2016-04-29,4609893.0
2016-04-28,5552259.0
2016-04-27,3487450.0
2016-04-26,3506166.0
2016-04-25,2835404.0
2016-04-22,4180910.0
2016-04-21,3541840.0
2016-04-20,4760120.0
2016-04-19,4649461.0
2016-04-18,3964855.0
2016-04-15,3508913.0
2016-04-14,4183298.0
2016-04-13,4324746.0
2016-04-12,4230757.0
2016-04-11,3472649.0
2016-04-08,2924397.0
2016-04-07,3953532.0
2016-04-06,3365550.0
2016-04-05,4068495.0
2016-04-04,3547690.0
2016-04-01,4259048.0
2016-03-31,3685380.0
2016-03-30,3138346.0
2016-03-29,3405373.0
2016-03-28,2621143.0
2016-03-24,3449253.0
2016-03-23,3625169.0
2016-03-22,3946427.0
2016-03-21,3816756.0
2016-03-18,8069083.0
2016-03-17,4131148.0
2016-03-16,3609559.0
2016-03-15,4034561.0
2016-03-14,3652610.0
2016-03-11,4626535.0
2016-03-10,4503659.0
2016-03-09,4046928.0
2016-03-08,5124201.0
2016-03-07,4161145.0
2016-03-04,6448169.0
2016-03-03,5009517.0
2016-03-02,3966300.0
2016-03-01,4908382.0
2016-02-29,5571608.0
2016-02-26,4608066.0
2016-02-25,4737288.0
2016-02-24,7930854.0
2016-02-23,11164852.0
2016-02-22,7792456.0
2016-02-19,5432097.0
2016-02-18,4460722.0
2016-02-17,5970653.0
2016-02-16,6965751.0
2016-02-12,5361609.0
2016-02-11,6446972.0
2016-02-10,5304867.0
2016-02-09,7572489.0
2016-02-08,11285277.0
2016-02-05,8116252.0
2016-02-04,9171741.0
2016-02-03,7485657.0
2016-02-02,5832204.0
2016-02-01,4673058.0
2016-01-29,7616144.0
2016-01-28,4871577.0
2016-01-27,5430471.0
2016-01-26,4475461.0
2016-01-25,4854161.0
2016-01-22,6554351.0
2016-01-21,8992850.0
2016-01-20,11331237.0
2016-01-19,6350697.0
2016-01-15,10514991.0
2016-01-14,13389107.0
2016-01-13,8932228.0
2016-01-12,5695498.0
2016-01-11,6811475.0
2016-01-08,7104079.0
2016-01-07,12549244.0
2016-01-06,8198731.0
2016-01-05,5316011.0
2016-01-04,8050776.0
2015-12-31,3178724.0
2015-12-30,2484811.0
2015-12-29,3037324.0
2015-12-28,2607306.0
2015-12-24,1517075.0
2015-12-23,3244448.0
2015-12-22,3401932.0
2015-12-21,3414798.0
2015-12-18,9807483.0
2015-12-17,4345798.0
2015-12-16,4711646.0
2015-12-15,4921773.0
2015-12-14,5959371.0
2015-12-11,5300644.0
2015-12-10,4186201.0
2015-12-09,5055629.0
2015-12-08,4731274.0
2015-12-07,5443657.0
2015-12-04,5387092.0
2015-12-03,6687458.0
2015-12-02,5021711.0
2015-12-01,5267407.0
2015-11-30,8036605.0
2015-11-27,3337790.0
2015-11-25,5300123.0
2015-11-24,6672455.0
2015-11-23,6328626.0
2015-11-20,8190591.0
2015-11-19,4660904.0
2015-11-18,6501305.0
2015-11-17,10516554.0
2015-11-16,7782603.0
2015-11-13,8728203.0
2015-11-12,4283672.0
2015-11-11,3247636.0
2015-11-10,3872769.0
2015-11-09,4988713.0
2015-11-06,3751518.0
2015-11-05,3059445.0
2015-11-04,4101588.0
2015-11-03,4313696.0
2015-11-02,3715526.0
2015-10-30,4991516.0
2015-10-29,4635293.0
2015-10-28,6821538.0
2015-10-27,3674805.0
2015-10-26,4550203.0
2015-10-23,5281580.0
2015-10-22,5855133.0
2015-10-21,3492096.0
2015-10-20,3318402.0
2015-10-19,3097713.0
2015-10-16,4068819.0
2015-10-15,3448925.0
2015-10-14,5200401.0
2015-10-13,2971353.0
2015-10-12,2861908.0
2015-10-09,3893492.0
2015-10-08,4958197.0
2015-10-07,4810700.0
2015-10-06,5275170.0
2015-10-05,4528683.0
2015-10-02,4359768.0
2015-10-01,5215027.0
2015-09-30,5372051.0
2015-09-29,7908590.0
2015-09-28,5918746.0
2015-09-25,5478067.0
2015-09-24,5172256.0
2015-09-23,4084866.0
2015-09-22,4631593.0
2015-09-21,5201675.0
2015-09-18,11366739.0
2015-09-17,6607052.0
2015-09-16,5284786.0
2015-09-15,4994007.0
2015-09-14,4248741.0
2015-09-11,4472836.0
2015-09-10,5258920.0
2015-09-09,5316362.0
2015-09-08,5775692.0
2015-09-04,5752377.0
2015-09-03,5302908.0
2015-09-02,6487416.0
2015-09-01,7391417.0
2015-08-31,5443665.0
2015-08-28,5015991.0
2015-08-27,7578884.0
2015-08-26,9312821.0
2015-08-25,10218906.0
2015-08-24,13981497.0
2015-08-21,10189723.0
2015-08-20,5555537.0
2015-08-19,6489892.0
2015-08-18,11021504.0
2015-08-17,7255634.0
2015-08-14,5135524.0
2015-08-13,6255354.0
2015-08-12,4620961.0
2015-08-11,4080013.0
2015-08-10,3408880.0
2015-08-07,3986101.0
2015-08-06,4768819.0
2015-08-05,4289242.0
2015-08-04,3008159.0
2015-08-03,3645105.0
2015-07-31,4301198.0
2015-07-30,3291136.0
2015-07-29,5104040.0
2015-07-28,4176783.0
2015-07-27,4468238.0
2015-07-24,4427520.0
2015-07-23,4308872.0
2015-07-22,5483244.0
2015-07-21,4660577.0
2015-07-20,6107521.0
2015-07-17,5497516.0
2015-07-16,5234834.0
2015-07-15,3365201.0
2015-07-14,3688831.0
2015-07-13,4171921.0
2015-07-10,4631403.0
2015-07-09,3643735.0
2015-07-08,3794058.0
2015-07-07,5515757.0
2015-07-06,3864664.0
2015-07-02,3845043.0
2015-07-01,4216233.0
2015-06-30,5938810.0
2015-06-29,5187330.0
2015-06-26,4208527.0
2015-06-25,4467082.0
2015-06-24,3716056.0
2015-06-23,3075864.0
2015-06-22,3190171.0
2015-06-19,9255075.0
2015-06-18,7222290.0
2015-06-17,5722179.0
2015-06-16,3466563.0
2015-06-15,3965178.0
2015-06-12,4301864.0
2015-06-11,3642764.0
2015-06-10,3967931.0
2015-06-09,3658994.0
2015-06-08,3449728.0
2015-06-05,4505390.0
2015-06-04,4328576.0
2015-06-03,6337980.0
2015-06-02,6088050.0
2015-06-01,5114792.0
2015-05-29,5310612.0
2015-05-28,2806141.0
2015-05-27,4147765.0
2015-05-26,4609621.0
2015-05-22,3693959.0
2015-05-21,4238135.0
2015-05-20,7004396.0
2015-05-19,11133206.0
2015-05-18,6861935.0
2015-05-15,4573411.0
2015-05-14,3815583.0
2015-05-13,4340651.0
2015-05-12,4053424.0
2015-05-11,3724256.0
2015-05-08,6435306.0
2015-05-07,5399940.0
2015-05-06,3996633.0
2015-05-05,4164209.0
2015-05-04,3366690.0
2015-05-01,6696926.0
2015-04-30,9041410.0
2015-04-29,7231417.0
2015-04-28,5743264.0
2015-04-27,5617518.0
2015-04-24,2879124.0
2015-04-23,3945310.0
2015-04-22,4065277.0
2015-04-21,3899843.0
2015-04-20,4397308.0
2015-04-17,6244371.0
2015-04-16,4013015.0
2015-04-15,4210990.0
2015-04-14,4072474.0
2015-04-13,2981956.0
2015-04-10,3658058.0
2015-04-09,4673843.0
2015-04-08,3753476.0
2015-04-07,3189204.0
2015-04-06,3249993.0
2015-04-02,4065097.0
2015-04-01,4737737.0
2015-03-31,4127794.0
2015-03-30,3965431.0
2015-03-27,3878955.0
2015-03-26,5409493.0
2015-03-25,4724545.0
2015-03-24,4026566.0
2015-03-23,4094988.0
2015-03-20,8445980.0
2015-03-19,3545475.0
2015-03-18,4773432.0
2015-03-17,3715820.0
2015-03-16,4820315.0
2015-03-13,4626884.0
2015-03-12,5741991.0
2015-03-11,4356487.0
2015-03-10,5685032.0
2015-03-09,5351215.0
2015-03-06,5169186.0
2015-03-05,4089528.0
2015-03-04,3798834.0
2015-03-03,3784741.0
2015-03-02,5971881.0
2015-02-27,5732581.0
2015-02-26,5649627.0
2015-02-25,7328170.0
2015-02-24,12775465.0
2015-02-23,5626895.0
2015-02-20,7269410.0
2015-02-19,5910566.0
2015-02-18,3731576.0
2015-02-17,6029630.0
2015-02-13,5099683.0
2015-02-12,4592234.0
2015-02-11,4553751.0
2015-02-10,5414382.0
2015-02-09,4243688.0
2015-02-06,4223512.0
2015-02-05,4471801.0
2015-02-04,6765343.0
2015-02-03,5969829.0
2015-02-02,5012500.0
2015-01-30,6998847.0
2015-01-29,6529339.0
2015-01-28,4917308.0
2015-01-27,4606480.0
2015-01-26,4191784.0
2015-01-23,4075976.0
2015-01-22,5804132.0
2015-01-21,5899195.0
2015-01-20,5335516.0
2015-01-16,6403841.0
2015-01-15,6894339.0
2015-01-14,5384438.0
2015-01-13,5395001.0
2015-01-12,4992830.0
2015-01-09,5701822.0
2015-01-08,6467464.0
2015-01-07,5089936.0
2015-01-06,4913039.0
2015-01-05,5881379.0
2015-01-02,4324850.0
2014-12-31,5821631.0
2014-12-30,2927755.0
2014-12-29,3492708.0
2014-12-26,2594855.0
2014-12-24,1819047.0
2014-12-23,4067739.0
2014-12-22,5418865.0
2014-12-19,12500604.0
2014-12-18,6593517.0
2014-12-17,6096377.0
2014-12-16,7831429.0
2014-12-15,5488342.0
2014-12-12,5985138.0
2014-12-11,6863672.0
2014-12-10,5356939.0
2014-12-09,5280581.0
2014-12-08,6624334.0
2014-12-05,4649088.0
2014-12-04,5227444.0
2014-12-03,4358974.0
2014-12-02,4677714.0
2014-12-01,4393689.0
2014-11-28,3305799.0
2014-11-26,4338093.0
2014-11-25,7991953.0
2014-11-24,5043636.0
2014-11-21,6804741.0
2014-11-20,4958379.0
