Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-07-26,146.86,147.245,145.96,146.69,2835975.0,0.0,1.0,134.26140686622745,134.61337909585768,133.43861464111777,134.10599055704003,2835975.0
2017-07-25,145.74,147.4,145.28,146.97,5002381.0,0.0,1.0,133.23748765275764,134.75508220129322,132.81694940436824,134.3619703604075,5002381.0
2017-07-24,146.61,146.69,144.25,144.58,7294422.0,0.0,1.0,134.03285347036365,134.10599055704003,131.8753094134094,132.17699989594962,7294422.0
2017-07-21,147.03,147.46,146.13,146.65,9120167.0,0.0,1.0,134.4168231754148,134.80993501630053,133.59403095030515,134.06942201370185,9120167.0
2017-07-20,152.56,152.57,145.61,147.03,18258694.0,0.0,1.0,139.47242429192195,139.4815664277565,133.11863988690845,134.4168231754148,18258694.0
2017-07-19,152.55,154.0,152.55,153.3,2808385.0,0.0,1.0,139.4632821560874,140.7888918520974,139.4632821560874,140.14894234367878,2808385.0
2017-07-18,153.75,153.86,151.98,152.17,3783567.0,0.0,1.0,140.5603384562336,140.6609019504137,138.94218041351792,139.1158809943744,3783567.0
2017-07-17,152.9,154.5,152.72,153.89,4166468.0,0.0,1.0,139.7832569102967,141.24599864382498,139.61869846527478,140.6883283579173,4166468.0
2017-07-14,153.22,153.67,151.82,152.88,3588205.0,0.0,1.0,140.07580525700234,140.48720136955717,138.7959062401651,139.7649726386276,3588205.0
2017-07-13,152.82,154.13,152.6,153.29,3287961.0,0.0,1.0,139.7101198236203,140.90773961794656,139.50899283526013,140.13980020784422,3287961.0
2017-07-12,151.46,153.14,151.09,152.59,4275878.0,0.0,1.0,138.46678935012125,140.00266817032593,138.12853032424283,139.4998506994256,4275878.0
2017-07-11,151.45,151.81,150.5,150.6,5641983.0,0.0,1.0,138.45764721428668,138.78676410433056,137.5891443100043,137.68056566834977,5641983.0
2017-07-10,152.22,152.26,151.0,151.18,5081101.0,0.0,1.0,139.16159167354718,139.19816021688538,138.04625110173185,138.2108095467538,5081101.0
2017-07-07,152.04,152.87,151.9,152.23,3775383.0,0.0,1.0,138.99703322852523,139.75583050279306,138.86904332684153,139.17073380938172,3775383.0
2017-07-06,151.77,152.48,151.22,152.05,3408538.0,0.0,1.0,138.75019556099235,139.3992872052455,138.247378090092,139.00617536435982,3408538.0
2017-07-05,154.01,154.295,151.46,152.69,4432537.0,0.0,1.0,140.79803398793194,141.05858485921667,138.46678935012125,139.5912720577711,4432537.0
2017-07-03,154.39,154.79,153.71,154.01,1658535.0,0.0,1.0,141.1454351496449,141.51112058302698,140.5237699128954,140.79803398793194,1658535.0
2017-06-30,152.51,154.0,152.27,153.4,3640801.0,0.0,1.0,139.42671361274918,140.7888918520974,139.20730235271995,140.2403637020243,3640801.0
2017-06-29,152.77,153.0,151.52,152.16,2855395.0,0.0,1.0,139.66440914444755,139.8746782686422,138.52164216512855,139.10673885853987,2855395.0
2017-06-28,152.75,153.45,152.36,153.23,5084618.0,0.0,1.0,139.64612487277842,140.28607438119704,139.28958157523093,140.0849473928369,5084618.0
2017-06-27,151.06,153.25,150.75,152.24,4567125.0,0.0,1.0,138.10110391673916,140.103231664506,137.81769770586806,139.17987594521628,4567125.0
2017-06-26,151.67,151.97,151.13,151.42,4128535.0,0.0,1.0,138.6587742026468,138.93303827768338,138.16509886758104,138.430220806783,4128535.0
2017-06-23,155.16,155.23,150.91,151.31,11422231.0,0.0,1.0,141.8493796089054,141.91337455974727,137.9639718792209,138.32965731260296,11422231.0
2017-06-22,156.44,157.07,155.47,155.48,3347363.0,0.0,1.0,143.01957299572803,143.59552755330478,142.1327858197765,142.14192795561104,3347363.0
2017-06-21,157.91,158.53,156.43,156.59,4071298.0,0.0,1.0,144.36346696340715,144.93027938514936,143.0104308598935,143.1567050332463,4071298.0
